     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   47.,    5.0,   0.26,  0.049,  0.052,  0.031, 0.0045,  0.016, 0.0020,  0.059,  0.029, 
   54.,    4.0,   0.50, -0.058, -0.069,  -0.10, -0.034,  -0.11,  -0.17,  0.037,  0.023, 
   16.,    0.0,   0.39,  -0.18,  -0.21, -0.064,  -0.14,  -0.21, -0.099,  -0.16,  -0.20, 
   80.,    4.0,   0.54, 0.0056, 0.0065, -0.0035,  0.017, -0.022,  0.068, -0.0073, -0.021, 
   4.0,    5.0,   0.55,  0.020,   0.16,   0.16,  0.032, -0.010, 0.0070,  -0.24,  -0.27, 
   70.,    1.0,   0.35,  -0.11, -0.022,  0.013,  0.022,  -0.14, -0.039, -0.082,  -0.12, 
   12.,    5.0,   0.30, -0.027, -0.032, -0.096, -0.0050, -0.067, -0.012,  0.021, -0.011, 
   48.,    2.0,   0.24,  0.056,  0.056,   0.16, -0.0040,  0.032,  -0.11,   0.11,  0.072, 
   67.,    2.0,   0.50,  -0.10,  -0.14, -0.097,  -0.18, -0.078,  -0.16,  -0.16,  -0.20, 
   71.,    5.0,   0.21,   0.11,  0.065,  0.041,  0.043, -0.013,   0.12,   0.10,  0.072, 
   73.,    4.0,   0.73,  -0.16,  -0.11,  -0.20,  -0.15,  -0.12,  0.075,  -0.20,  -0.21, 
   50.,    2.0,   0.20,   0.13,   0.12,   0.14,   0.13,  0.094,   0.12,   0.14,   0.11, 
   30.,    4.0,    1.0,  -0.15,  -0.19,  -0.19,  -0.29,  -0.34,  -0.39,  -0.47,  -0.48, 
   88.,    0.0,   0.16,  0.021, -0.032, -0.063,  0.021,  0.016,  0.089,  0.075,  0.032, 
   19.,    4.0,   0.50,  0.040, -0.079,  -0.12,  -0.14, -0.031,  0.047,  0.035,  0.021, 
   51.,    2.0,   0.53, -0.020, -0.015, -0.032, -0.046, -0.072,  0.031,  -0.19,  -0.23, 
   94.,    2.0,   0.44, -0.056, -0.049,  0.069,  0.016, -0.078, -0.066, -0.095,  -0.13, 
   45.,    4.0,   0.52,  0.022,  -0.10, -0.094, -0.068, -0.051, -0.063,  0.014,    0.0, 
   47.,    0.0,   0.21, -0.028, -0.035, -0.085, -0.041, -0.051,  -0.16,  0.021, -0.021, 
   1.0,    0.0,   0.20, -0.012, -0.020, -0.071,  0.040, -0.033, -0.092,  0.035, -0.0070, 
   18.,    2.0,   0.11,  0.088,  0.074,   0.45,  0.074,   0.25,   0.17,   0.23,   0.20, 
   94.,    5.0,   0.38, -0.033, -0.028, -0.028, -0.037, -0.022, -0.093, -0.064, -0.095, 
   88.,    1.0,   0.20,  0.011, -0.040,  -0.10,  0.033, 0.0085,  0.076,  0.077,  0.042, 
   83.,    1.0,   0.66,  -0.36, 0.0095,  -0.11, -0.094, -0.052,  -0.11,  -0.39,  -0.43, 
   23.,    0.0,    0.0,   0.12,  0.095,  0.095,   0.11,   0.16,   0.12,   0.23,   0.19, 
   62.,    5.0,   0.43,  0.012,  0.035,   0.15, -0.066,  0.081, -0.053,  -0.11,  -0.15, 
   61.,    5.0,   0.37, -0.061, -0.081, -0.081,  -0.12, -0.072,  -0.12, -0.054, -0.085, 
   16.,    2.0,   0.44,  0.028,  0.075,  0.076,  0.021,  0.036,  0.056, -0.098,  -0.14, 
   33.,    1.0,   0.29, -0.079,  -0.23,  -0.29, -0.016,  -0.14, -0.059, -0.016, -0.059, 
   5.0,    1.0,   0.16, -0.034,  0.043,  0.023,   0.13, -0.0070,  0.077,   0.11,  0.077, 
   84.,    2.0,   0.25, 0.0038,  0.013,  0.019,  0.017,  0.014, -0.074,  0.095,  0.061, 
   95.,    2.0,   0.38, -0.030, -0.016, -0.056,  0.037,  0.016,  -0.12, -0.037, -0.076, 
   25.,    5.0,   0.26, -0.052,  0.043,  0.050,  0.044,    0.0, -0.035,  0.056,  0.026, 
   12.,    4.0,   0.52, -0.035,  -0.11,  -0.19, -0.052, -0.076, -0.072,  0.014,    0.0, 
   63.,    1.0,   0.34,  -0.17,  -0.19,  -0.24,  -0.18,  -0.21,  -0.34, -0.071,  -0.11, 
   80.,    2.0,   0.36, 0.0064,  0.030,  0.049,   0.13,  0.087, -0.014, -0.016, -0.055, 
   41.,    1.0,   0.35,  0.019,  -0.16,  -0.16,  -0.16,  -0.10,  0.024, -0.074,  -0.12, 
   81.,    0.0,   0.17,   0.13,   0.28,   0.25,   0.30,   0.30,  0.015,  0.058,  0.015, 
   79.,    5.0,   0.27,  0.084,  0.050,  0.050,   0.13, -0.051, -0.059,  0.046,  0.016, 
   88.,    1.0,   0.20,  0.011, -0.040,  -0.10,  0.033, 0.0085,  0.076,  0.077,  0.042, 
   45.,    3.0,   0.23,   0.11,  0.053,  0.063,  0.062,  0.098,  0.087,   0.11,  0.073, 
   98.,    0.0,   0.13, -0.011, -0.034, 0.0040,  0.026, -0.00050,  0.061,   0.10,  0.061, 
   35.,    3.0,   0.34, -0.0060, -0.010,  0.067, -0.030, -0.0075, -0.073, -0.0038, -0.041, 
   71.,    2.0,   0.25,  0.010, 0.0085,  -0.12,  0.069,  0.065,  0.048,  0.091,  0.057, 
   4.0,    5.0,   0.55,  0.020,   0.16,   0.16,  0.032, -0.010, 0.0070,  -0.24,  -0.27, 
   42.,    1.0,   0.54,  -0.18,  -0.29,  -0.33,  -0.40,  -0.40,  -0.33,  -0.27,  -0.31, 
   50.,    0.0,   0.26, -0.088, -0.087,  -0.16,  -0.11,  -0.14,  -0.12, -0.031, -0.073, 
   96.,    3.0,   0.45,  0.027,  0.067,   0.10,   0.14,  0.042,  0.032,  -0.11,  -0.15, 
   68.,    2.0,   0.39,  0.030,  0.015,  0.055,   0.35,   0.12,  0.018, -0.046, -0.085, 
   99.,    1.0,    0.0,  0.056,   0.16,    0.0,   0.24,   0.12,    0.0,   0.28,   0.24, 
   33.,    0.0,   0.16, -0.040, -0.063,  -0.16, 0.0065, -0.054,  -0.16,  0.075,  0.032, 
   95.,    2.0,   0.38, -0.030, -0.016, -0.056,  0.037,  0.016,  -0.12, -0.037, -0.076, 
   92.,    0.0,   0.42,  -0.20,  -0.25,  -0.26,  -0.18,  -0.29,  -0.24,  -0.19,  -0.23, 
   42.,    5.0,   0.27,  0.088,  0.064,  0.064,   0.37,   0.22, 0.0060,  0.052,  0.022, 
   53.,    0.0,   0.19, -0.0027, -0.014, -0.064,  0.051, 0.0037,  0.098,  0.042,    0.0, 
   99.,    5.0,   0.29, -0.090, -0.041, -0.041, -0.024,  0.032,  0.035,  0.026, -0.0060, 
   34.,    1.0,    0.0,   0.16,   0.16,   0.16,  0.094,  0.094,   0.16,   0.28,   0.24, 
   83.,    5.0,   0.33,   0.14,   0.24,   0.25,   0.16,   0.17,  0.099, -0.015, -0.046, 
   22.,    2.0,   0.40, -0.036, -0.016, -0.0050, -0.018, -0.010, -0.062, -0.062,  -0.10, 
   47.,    4.0,   0.52, -0.022, -0.039, -0.069,  0.025, -0.0050, 0.0070,  0.019, 0.0050, 
   81.,    0.0,   0.17,   0.13,   0.28,   0.25,   0.30,   0.30,  0.015,  0.058,  0.015, 
   21.,    3.0,   0.20, -0.013, -0.017,  0.015,  0.035,  0.055,  0.087,   0.13,  0.098, 
   25.,    4.0,   0.59, -0.016, -0.096,  -0.12, -0.010,  0.043, -0.046, -0.057, -0.070, 
   78.,    4.0,   0.65, -0.041, -0.027,  -0.12, -0.054, 0.0088,   0.15,  -0.12,  -0.13, 
   9.0,    3.0,   0.32,  0.024,  0.015, -0.024,  0.011, -0.029, -0.087,  0.021, -0.016, 
   36.,    5.0,   0.20,  0.075,  0.099,   0.11,  0.056,  0.051,  0.018,   0.11,  0.082, 
   86.,    0.0,   0.48, 0.0039,   0.17, -0.025,   0.17,  0.021,  0.036,  -0.26,  -0.29, 
   33.,    0.0,   0.16, -0.040, -0.063,  -0.16, 0.0065, -0.054,  -0.16,  0.075,  0.032, 
   3.0,    4.0,   0.60, 0.0090, -0.082, -0.078,  0.070,  0.064,  0.051, -0.063, -0.076, 
   20.,    2.0,   0.34, -0.030, -0.044,  -0.11, -0.097, -0.049, -0.068, -0.0025, -0.042, 
   22.,    3.0,   0.36,  0.024,  0.021, -0.019, -0.0090, -0.0088,    0.0, -0.027, -0.064, 
   29.,    4.0,   0.66,  -0.15,  -0.25,  -0.25,  -0.14,  -0.25,  -0.22,  -0.12,  -0.14, 
   70.,    1.0,   0.35,  -0.11, -0.022,  0.013,  0.022,  -0.14, -0.039, -0.082,  -0.12, 
   4.0,    5.0,   0.55,  0.020,   0.16,   0.16,  0.032, -0.010, 0.0070,  -0.24,  -0.27, 
   69.,    1.0,    0.0,   0.36,   0.26,   0.23,   0.35,   0.34,   0.27,   0.28,   0.24, 
   58.,    4.0,   0.58,  0.046, -0.042, -0.042,   0.10,  0.077,  0.037, -0.046, -0.059, 
   84.,    3.0,   0.23,  0.022, -0.0050, -0.027, -0.054, -0.030, -0.075,   0.11,  0.073, 
   75.,    4.0,   0.49, -0.039, -0.064,  -0.10,  -0.11,  -0.11,  -0.12,  0.042,  0.028, 
   42.,    2.0,   0.17,  0.048,   0.13,  0.059,  0.063,  0.041, -0.016,   0.18,   0.14, 
   46.,    0.0,   0.22, -0.017, -0.047,  -0.10,  -0.15,  0.031,   0.11, 0.0090, -0.033, 
   98.,    0.0,   0.13, -0.011, -0.034, 0.0040,  0.026, -0.00050,  0.061,   0.10,  0.061, 
   53.,    2.0,   0.41,  0.028,  0.025, -0.022,  0.092,  0.066,  0.096, -0.065,  -0.10, 
   23.,    3.0,   0.27, -0.0079,  -0.12, -0.028, -0.056, -0.037, 0.0010,  0.065,  0.029, 
   29.,    5.0,   0.30, -0.0069, -0.017,  0.016, -0.0040, 0.0018,  0.065,  0.020, -0.012, 
   87.,    5.0,   0.17,  0.030,  0.096,   0.11,   0.13,  0.052,  0.013,   0.14,   0.11, 
   81.,    5.0,   0.39,  0.056, -0.030, -0.030,   0.30,   0.16,  -0.17, -0.073,  -0.10, 
   92.,    5.0,   0.31,  0.029,  0.024,  0.052,   0.12,  0.096, -0.095, 0.0097, -0.022, 
   49.,    4.0,   0.39,   0.18,   0.14,   0.14,   0.16,   0.18,   0.24,   0.15,   0.14, 
   1.0,    5.0,   0.26,  0.041,  0.050,  0.050,  0.046,  0.024, -0.0020,  0.057,  0.027, 
   24.,    4.0,   0.63, 0.0012, -0.0055,  0.081,  0.039,  0.028,  0.098, -0.093,  -0.11, 
   95.,    3.0,   0.34,  0.025,  0.059,  0.059, -0.099,  -0.12, -0.048, -0.0068, -0.044, 
   52.,    3.0,   0.47, -0.097, -0.015, -0.040, -0.077, -0.074,  -0.11,  -0.13,  -0.17, 
   20.,    1.0,   0.19, -0.029, -0.029, -0.088,  -0.11,  -0.19, -0.073,  0.087,  0.052, 
   86.,    3.0,   0.60,  -0.13, -0.035,  -0.16,  -0.13, 0.0045,  -0.14,  -0.27,  -0.30, 
   48.,    3.0,   0.28, -0.036, -0.039, 0.0025, -0.045, -0.016, -0.017,  0.062,  0.026, 
   94.,    5.0,   0.38, -0.033, -0.028, -0.028, -0.037, -0.022, -0.093, -0.064, -0.095, 
   82.,    5.0,   0.22,  0.031,  0.055, 0.0020,  0.049,  0.027,   0.11,  0.099,  0.068, 
   27.,    2.0,   0.27, -0.046, -0.0085,  0.014,  0.051, -0.020, -0.039,  0.074,  0.040, 
   8.0,    5.0,   0.27,  0.048,  0.019,  0.019,  0.021,  0.032, -0.021,  0.047,  0.017, 
   20.,    4.0,   0.50,  0.045, -0.019, -0.0050,  0.082,  0.060,   0.14,  0.039,  0.025, 
   0.0,    2.0,   0.31, 0.0039, -0.0085, -0.0085, -0.042, -0.014,   0.11,  0.034, -0.0060, 
   95.,    1.0,    0.0,  0.056,   0.20,   0.33,   0.33,   0.35,   0.35,   0.28,   0.24, 
   12.,    1.0,   0.16,  0.021,  0.043, -0.0025, -0.022, -0.067, -0.022,   0.11,  0.077, 
   32.,    1.0,   0.33, -0.084,  -0.15, -0.093, -0.070, -0.083,  -0.13, -0.052, -0.095, 
   50.,    2.0,   0.20,   0.13,   0.12,   0.14,   0.13,  0.094,   0.12,   0.14,   0.11, 
   66.,    5.0,   0.32,  0.026, -0.0050,  0.093, -0.069, -0.040, -0.070, 0.0016, -0.030, 
   53.,    2.0,   0.41,  0.028,  0.025, -0.022,  0.092,  0.066,  0.096, -0.065,  -0.10, 
   68.,    5.0,   0.30, -0.025,  0.014,  0.040, -0.061, -0.0055, -0.0040,  0.021, -0.011, 
   54.,    3.0,   0.17, 0.0048, -2.8e-17,  0.011,  0.064,  0.085,  0.093,   0.17,   0.14, 
   59.,    0.0,   0.13,  0.076,  0.047,  -0.13, -0.042, -0.092,  -0.13,   0.10,  0.061, 
   32.,    4.0,   0.58, -0.071, -0.099,  -0.11, -0.099, -0.056, -0.060, -0.042, -0.055, 
   40.,    2.0,   0.56,  -0.15,  -0.20,  -0.13,  -0.15,  -0.13,  -0.16,  -0.22,  -0.26, 
   32.,    5.0,   0.26,  0.039,  0.025,  0.029, -0.015, -0.0080, -0.070,  0.058,  0.028, 
   36.,    3.0,   0.31, -0.036, -0.092, -0.074, -0.072,  -0.14, -0.0080,  0.030, -0.0080, 
   77.,    4.0,   0.46,  0.026, -0.046,  -0.14,  0.032,  0.060,  0.022,  0.081,  0.066, 
   2.0,    3.0,   0.21, -0.0099, -0.0075,  0.035,  0.046,  0.052, -0.010,   0.12,  0.088, 
   82.,    4.0,   0.50,  0.015,  -0.11,  -0.20,  0.053,  0.015, -0.0050,  0.034,  0.020, 
   64.,    1.0,   0.22, 0.0017,  0.036,  -0.22, -0.027,   0.12, -0.084,  0.058,  0.023, 
   54.,    2.0,   0.16,  0.040,  0.060,   0.12,  0.033, -0.021,   0.12,   0.19,   0.15, 
   93.,    5.0,   0.40, 0.0061, -0.0025, -0.0025, 0.0045, -0.041, -0.080, -0.081,  -0.11, 
   97.,    3.0,   0.40, -0.041, -0.045, -0.025, -0.050, -0.049,  -0.11, -0.065,  -0.10, 
   92.,    0.0,   0.42,  -0.20,  -0.25,  -0.26,  -0.18,  -0.29,  -0.24,  -0.19,  -0.23, 
   2.0,    3.0,   0.21, -0.0099, -0.0075,  0.035,  0.046,  0.052, -0.010,   0.12,  0.088, 
   71.,    0.0,   0.25,  -0.15,  -0.16,  -0.25,  -0.19,  -0.21,  -0.25, -0.020, -0.062, 
   35.,    5.0,   0.24,  0.039,  0.060,  0.093, -0.0040,  0.029,  0.016,  0.073,  0.043, 
   3.0,    0.0,    0.0,   0.27,   0.30,   0.42,   0.34,   0.33,   0.20,   0.23,   0.19, 
   63.,    5.0,   0.22,   0.12,  0.093,  0.073,  0.030,  0.021,   0.15,  0.096,  0.065, 
   49.,    4.0,   0.39,   0.18,   0.14,   0.14,   0.16,   0.18,   0.24,   0.15,   0.14, 
   44.,    4.0,   0.54, -0.031,  -0.18, -0.088,  -0.16, -0.073, -0.060, -0.00020, -0.014, 
   60.,    4.0,   0.39,  0.060,  0.038,  0.077,  0.011,  0.065,  0.011,   0.14,   0.13, 
   56.,    4.0,   0.42,  0.054,  -0.22, -0.084,  0.075,  0.060,  0.048,   0.11,  0.098, 
   95.,    5.0,   0.37,  -0.17, -0.069, -0.061,  -0.14,  -0.13,  0.013, -0.057, -0.088, 
   90.,    3.0,   0.29, -0.034,  0.091,   0.11, -0.0060, -0.052,  -0.12,  0.042, 0.0060, 
   74.,    1.0,   0.24, -0.033, -0.081,  -0.14,  -0.16, -0.079,  -0.24,  0.035, -0.0090, 
   75.,    0.0,   0.18,  0.010, -0.0055, -0.058,  0.044,  0.065, -0.043,  0.050, 0.0080, 
   77.,    2.0,   0.23, -0.044, -0.061, -0.061,  0.021, -0.014, -0.0030,   0.11,  0.077, 
   26.,    2.0,   0.61,  0.088,   0.29,  -0.10,   0.22,  -0.11,  0.047,  -0.27,  -0.30, 
   55.,    0.0,    0.0,   0.25,   0.18,  0.074,    0.0,  0.032,    0.0,   0.23,   0.19, 
   28.,    0.0,   0.32, -0.065,  -0.15,  -0.25,  -0.17, -0.085, 0.0050, -0.093,  -0.13, 
   21.,    4.0,   0.40,  0.057,  0.033, -0.024,  0.051,  0.050, -0.044,   0.14,   0.12, 
   58.,    5.0,   0.29, -0.0053,  0.023,  0.051, -0.014, 5.6e-17, -0.050,  0.030, -0.0020, 
   16.,    3.0,   0.48, -0.059, -0.059, -0.042, -0.051, -0.018,  -0.10,  -0.14,  -0.18, 
   40.,    3.0,   0.42,   0.11,  0.019, -0.0010,  0.079,  0.099,   0.10, -0.089,  -0.12, 
   88.,    1.0,   0.20,  0.011, -0.040,  -0.10,  0.033, 0.0085,  0.076,  0.077,  0.042, 
   62.,    2.0,   0.53, -0.022, -0.00050, 0.0070, -0.018, -0.036, -0.018,  -0.19,  -0.23, 
   62.,    2.0,   0.53, -0.022, -0.00050, 0.0070, -0.018, -0.036, -0.018,  -0.19,  -0.23, 
   90.,    4.0,   0.43,  0.066, -0.066, -0.066,   0.11,   0.13,  -0.14,   0.10,  0.090, 
   92.,    1.0,   0.33, -0.055,  0.081,   0.22, -0.050,  0.017,   0.21, -0.056, -0.099, 
   99.,    0.0,    0.0,   0.22,   0.18,    0.0,  0.095,  0.065,    0.0,   0.23,   0.19, 
   46.,    4.0,   0.38,  0.084,  0.054,  0.091,  0.056,  0.067,   0.12,   0.16,   0.15, 
   33.,    3.0,   0.23,  0.055, -0.014,  0.042,  0.043,  0.059,  0.030,   0.11,  0.073, 
   68.,    5.0,   0.30, -0.025,  0.014,  0.040, -0.061, -0.0055, -0.0040,  0.021, -0.011, 
   76.,    0.0,    0.0,   0.18,   0.18,  0.070,   0.14,   0.19,   0.13,   0.23,   0.19, 
   39.,    1.0,   0.89,  -0.33,  0.029,  0.098,  -0.24,  -0.48, -0.022,  -0.62,  -0.65, 
   64.,    1.0,   0.22, 0.0017,  0.036,  -0.22, -0.027,   0.12, -0.084,  0.058,  0.023, 
   18.,    0.0,   0.50, -0.0013, -0.081, -0.047,  -0.31,  -0.28,  -0.31,  -0.27,  -0.31, 
   43.,    1.0,  0.094,   0.14,   0.15,  0.099,  0.096,   0.10,  0.039,   0.18,   0.15, 
   5.0,    0.0,  0.074,   0.15,   0.10,  0.052,   0.16,   0.12,   0.19,   0.16,   0.12, 
   62.,    3.0,   0.53, -0.027,  0.011,  0.011,   0.15,  0.097,  0.088,  -0.19,  -0.23, 
   9.0,    4.0,   0.46,  0.085, -0.037,  0.012,  0.080,   0.14,  0.061,  0.078,  0.063, 
   67.,    0.0,   0.16, 0.0068, -0.032,  0.066, -0.056, -0.064,   0.14,  0.075,  0.032, 
   17.,    5.0,   0.32,  0.031,  0.077,   0.13,   0.13,  0.094,  0.080, -0.00038, -0.032, 
   59.,    4.0,   0.44,  0.086,  0.061,  0.061,  0.084,  0.047,   0.17,  0.099,  0.084, 
   17.,    4.0,   0.71, -0.073, -0.089, -0.0030, -0.050, -0.060,  -0.10,  -0.18,  -0.19, 
   33.,    0.0,   0.16, -0.040, -0.063,  -0.16, 0.0065, -0.054,  -0.16,  0.075,  0.032, 
   38.,    2.0,   0.12,   0.16,   0.17,   0.17,   0.15,   0.12,   0.11,   0.22,   0.19, 
   16.,    3.0,   0.48, -0.059, -0.059, -0.042, -0.051, -0.018,  -0.10,  -0.14,  -0.18, 
   47.,    0.0,   0.21, -0.028, -0.035, -0.085, -0.041, -0.051,  -0.16,  0.021, -0.021, 
   42.,    0.0,   0.31,  -0.12, -0.047, -0.095,  -0.13,   0.12,  -0.13, -0.080,  -0.12, 
   12.,    4.0,   0.52, -0.035,  -0.11,  -0.19, -0.052, -0.076, -0.072,  0.014,    0.0, 
   86.,    0.0,   0.48, 0.0039,   0.17, -0.025,   0.17,  0.021,  0.036,  -0.26,  -0.29, 
   39.,    5.0,   0.68,  -0.24,  -0.11,  -0.10,  -0.21,  -0.14,  -0.27,  -0.37,  -0.40, 
   39.,    4.0,   0.44,   0.23,   0.27,   0.29,   0.31,  0.047,  0.065,  0.096,  0.081, 
   46.,    1.0,   0.28, -0.0065, -0.039, -0.048, -0.023, -0.046, -0.0080, -0.0078, -0.051, 
   98.,    0.0,   0.13, -0.011, -0.034, 0.0040,  0.026, -0.00050,  0.061,   0.10,  0.061, 
   84.,    3.0,   0.23,  0.022, -0.0050, -0.027, -0.054, -0.030, -0.075,   0.11,  0.073, 
   51.,    3.0,   0.53, -0.029, -0.061, -0.061, -0.055, -0.022,  0.026,  -0.20,  -0.23, 
   81.,    1.0,   0.60,  -0.38,  -0.26,  -0.24,  -0.24,  -0.21,  -0.38,  -0.33,  -0.37, 
   11.,    3.0,   0.35, -0.016, -0.020, 0.0085,   0.12,  0.072,  0.024, -0.014, -0.051, 
   34.,    3.0,   0.33,  0.078,  0.029,  0.014,  0.057,  0.013, -0.075, 0.0063, -0.031, 
   55.,    5.0,   0.33,  -0.12,  -0.15, -0.046, -0.035,  -0.10, -0.035, -0.0095, -0.041, 
   63.,    3.0,   0.37, -0.074,  -0.11, -0.026, -0.056, -0.085, -0.082, -0.036, -0.073, 
   18.,    3.0,   0.17, -0.039,   0.11,   0.27,   0.11, 0.0030, -0.012,   0.17,   0.13, 
   26.,    3.0,   0.74,  -0.17,  0.072,  -0.16,  -0.11, -0.021, -0.061,  -0.40,  -0.44, 
   80.,    1.0,   0.36,  -0.11,  -0.10,  -0.10,  -0.11,  -0.14,  0.010, -0.089,  -0.13, 
   34.,    0.0,   0.10,  0.049, -0.010, -0.030, -0.030, -0.082,  -0.10,   0.13,  0.085, 
   17.,    3.0,   0.51, -0.012, -0.015, -0.057,  0.037,  0.059, -0.040,  -0.17,  -0.21, 
   41.,    2.0,   0.40, -0.026, -0.014,   0.10, -0.032,  0.026, -0.058, -0.060, -0.099, 
   37.,    3.0,   0.22, 0.0076, -0.011,  0.046,  0.054,  0.066,  0.082,   0.12,  0.084, 
   43.,    1.0,  0.094,   0.14,   0.15,  0.099,  0.096,   0.10,  0.039,   0.18,   0.15, 
   20.,    3.0,   0.30,  0.034,  0.029, -0.0075,  0.090,  0.053, -0.043,  0.036, -0.0020, 
   16.,    5.0,   0.29,   0.10,  0.072,   0.16,  0.059,  0.052,  0.086,  0.030, -0.0020, 
