     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   68.,    5.0,    4.3,    1.4,   0.13,   0.74,    1.0,   0.68,   0.64,  0.079,  -0.33, 
   18.,    4.0,    0.0,   0.25,   0.12,    0.0,   0.46,   0.24,   0.15,   0.23,   0.20, 
   12.,    5.0,    3.1,   0.40,    2.5,    2.7,    2.4,    2.7,   0.70,    1.2,   0.85, 
   99.,    2.0,   0.62,  0.035,   0.19,   0.19,    0.0,    0.0,    0.0,  0.066,    0.0, 
   57.,    4.0,    0.0,   0.25,   0.35,   0.35,   0.26,   0.13,    0.0,   0.23,   0.20, 
   14.,    1.0,   0.60, -0.035,    0.0,   0.10,  0.050, -0.025,    0.0, -0.010,    0.0, 
   38.,    4.0,   0.38, -0.081,  -0.38,  -0.38, -0.011,  0.066, -0.078,  -0.15,  -0.21, 
   31.,    5.0,    3.2,   0.37,  -0.24,  -0.24,   0.58,   0.45,  -0.19,    1.2,   0.81, 
   64.,    2.0,   0.62,  0.042,  0.062,   0.12,   0.19,  0.094,   0.12,  0.066,    0.0, 
   98.,    5.0,    2.7,  -0.31,  -0.54,  -0.66,  -0.35,  -0.19,  -0.70,    1.6,    1.2, 
   52.,    4.0,    0.0,   0.24,   0.35,   0.35,   0.46,   0.45,   0.39,   0.23,   0.20, 
   42.,    0.0,   0.12,  0.085, -0.020, -0.020, -0.041,  0.014,  0.023,  0.085,  0.071, 
   46.,    3.0,    1.0, -0.018, -0.012, -0.0077, -0.018, -0.011, -0.022, -0.016, -0.016, 
   1.0,    0.0,   0.15,  0.055, 0.0018,  0.043,  0.037,  0.049, -0.0034,  0.055,  0.040, 
   18.,    1.0,   0.50, -0.020,  -0.10,  -0.10, -0.050, -0.050,   0.20,  0.091,   0.10, 
   85.,    2.0,   0.62,  0.077,  0.062,  0.062,   0.12,  0.062,   0.25,  0.066,    0.0, 
   35.,    1.0,   0.90, -0.061,  -0.10,    0.0, -0.050,  -0.28,  -0.20,  -0.31,  -0.30, 
   30.,    1.0,   0.50,  0.012,  0.050,   0.10,  0.050,  0.075,  -0.10,  0.091,   0.10, 
   44.,    2.0,   0.62,  0.047,   0.19,   0.19,  0.062,  0.031,    0.0,  0.066,    0.0, 
   87.,    4.0,   0.26, 0.0081,  0.096,  0.096,  -0.26,   0.18,  -0.26, -0.030, -0.094, 
   28.,    1.0,   0.60, -0.036,    0.0,  0.050, -0.050, -0.050,   0.10, -0.010,    0.0, 
   75.,    0.0,   0.17,  0.033,  0.011, -0.012,   0.10,  0.033,   0.10,  0.035,  0.021, 
   65.,    5.0,    3.9,   0.64,    1.0,   0.13,   0.50,   0.60,    2.2,   0.43,  0.050, 
   24.,    4.0,   0.31,  -0.11,  -0.19,  -0.19,  -0.25,  -0.14, -0.010, -0.085,  -0.15, 
   62.,    2.0,   0.62,  0.066,   0.12,   0.12,  0.062,   0.16,    0.0,  0.066,    0.0, 
   22.,    3.0,    1.0, -0.018, -0.023, -0.014, -0.014, -0.013, -0.0055, -0.016, -0.016, 
   60.,    3.0,   0.98, -0.011, -0.026, -0.017, -0.0095, -0.00075,  0.010, -0.00070, -0.0010, 
   26.,    3.0,   0.98, 0.0013, 0.0030, 0.0070,    0.0, -0.0065, -0.010, -0.0027, -0.0030, 
   69.,    3.0,    1.0, -0.022, -0.027, -0.028, -0.032, -0.011, -0.014, -0.016, -0.016, 
   89.,    2.0,   0.62,  0.035,   0.12,    0.0,   0.19,  0.031,   0.12,  0.066,    0.0, 
   29.,    0.0,   0.21,  0.016,  0.037,  0.037,  0.013, -0.020, -0.019, -0.0011, -0.017, 
   66.,    5.0,    3.2,   0.33,   0.64,   0.51,   0.95,   0.20,  -0.45,    1.2,   0.80, 
   59.,    3.0,   0.98, 1.3e-05, -0.0017, -0.0080, 0.0052, -0.0042, -0.028, 0.0028, 0.0030, 
   79.,    5.0,    3.0,   0.54, -0.051,   0.19,  0.088, -0.057,   0.19,    1.4,    1.0, 
   34.,    2.0,   0.75, -0.042, -0.062,    0.0,    0.0,  -0.12,  -0.12, -0.061,  -0.12, 
   11.,    0.0,   0.15,  0.041, -0.015, 0.0030, -0.020,  0.018, -0.00016,  0.051,  0.036, 
   98.,    1.0,   0.40,  0.083,    0.0,    0.0,  0.050,  0.025,   0.10,   0.19,   0.20, 
   82.,    1.0,   0.70,  -0.13,  -0.10, -0.050, -0.050,  -0.12,  -0.10,  -0.11,  -0.10, 
   63.,    4.0,   0.35, -0.033, 0.0059, 0.0059,  -0.35,  -0.10,  -0.35,  -0.12,  -0.18, 
   23.,    0.0,   0.24, -0.014, -0.054, -0.056, -0.030, -0.045, -0.054, -0.033, -0.048, 
   58.,    1.0,   0.40, -0.028,    0.0,  0.050,    0.0,    0.0,    0.0,   0.19,   0.20, 
   67.,    5.0,    3.3,   0.25,  -0.27,   0.41,   0.79,   0.44,   0.27,    1.1,   0.72, 
   61.,    1.0,   0.50,  0.045,   0.10,   0.10,    0.0,    0.0,    0.0,  0.091,   0.10, 
   3.0,    1.0,   0.60, -0.016,    0.0,  0.050,    0.0,    0.0,   0.10, -0.010,    0.0, 
   23.,    1.0,   0.60, -0.020,    0.0,   0.10,  0.050,  0.050,   0.10, -0.010,    0.0, 
   76.,    0.0,   0.28, -0.058, -0.014, 0.0053, -0.069, -0.028, -0.092, -0.079, -0.094, 
   43.,    2.0,   0.50,   0.20,   0.31,   0.31,   0.12,   0.16,   0.12,   0.19,   0.12, 
   99.,    3.0,    1.0, -0.0020, -0.0040, -0.0020, -0.010, -0.00025, -0.0010, -0.014, -0.014, 
   39.,    2.0,   0.75,  0.014,    0.0, -0.062,  -0.12,  0.062,  -0.12, -0.061,  -0.12, 
   72.,    2.0,   0.62,  0.030,   0.19,   0.19,    0.0,    0.0,    0.0,  0.066,    0.0, 
   41.,    0.0,   0.21, 0.0040, -0.00091,  0.058, 0.0017, -0.00027,  0.027, -0.0021, -0.017, 
   38.,    5.0,    4.1,  -0.58,  -0.48,  -0.55,  -0.30,  -0.43,  -0.49,   0.27,  -0.14, 
   51.,    0.0,   0.32,  -0.10, -0.077, -0.077, -0.077,  -0.10,  -0.13,  -0.12,  -0.13, 
   88.,    3.0,   0.98, -0.0013, -0.0022, -0.0047, 0.0052, 0.0055,  0.013, 0.0023, 0.0025, 
   79.,    5.0,    3.0,   0.54, -0.051,   0.19,  0.088, -0.057,   0.19,    1.4,    1.0, 
   40.,    4.0,   0.34,  -0.15,  -0.14,  -0.15,  -0.21,  -0.20,  0.070,  -0.11,  -0.17, 
   44.,    3.0,   0.99, 0.0094, 0.0025, 0.0025, 0.00025, -0.010, 0.0070, -0.0092, -0.0095, 
   12.,    5.0,    3.1,   0.40,    2.5,    2.7,    2.4,    2.7,   0.70,    1.2,   0.85, 
   15.,    5.0,    3.9,  -0.33,  -0.93,  -0.46,  -0.65,  -0.53,   0.77,   0.51,   0.12, 
   2.0,    1.0,   0.40,  0.067,  0.050,    0.0,  0.050,  0.075,   0.10,   0.19,   0.20, 
   68.,    4.0,    0.0,   0.26,   0.35,   0.35,   0.13,   0.16,    0.0,   0.23,   0.20, 
   46.,    1.0,   0.60, -0.046,    0.0,   0.10, -0.050, -0.025,  -0.10, -0.010,    0.0, 
   3.0,    0.0,   0.28, -0.057, -0.088, -0.060, -0.095, -0.089,  -0.12, -0.072, -0.087, 
   71.,    0.0,   0.34,  -0.13,  -0.16,  -0.16,  -0.13,  -0.14,  -0.16,  -0.14,  -0.15, 
   84.,    2.0,   0.62,  0.089,   0.12,   0.12,   0.25,   0.12,   0.12,  0.066,    0.0, 
   54.,    3.0,   0.99, -0.016, -0.0087, -0.0047, -0.0075, -0.0085, -0.017, -0.013, -0.013, 
   37.,    2.0,   0.75, -0.031, -0.062,    0.0, -0.062, -0.062,  -0.12, -0.061,  -0.12, 
   61.,    0.0,   0.15,  0.059, -0.0074,  0.060,  0.041,  0.057, 0.0034,  0.058,  0.044, 
   97.,    1.0,   0.90,  -0.16,  -0.15,  -0.20,  -0.10,  -0.12,  -0.10,  -0.31,  -0.30, 
   34.,    5.0,    3.6, -0.079,   0.21,   0.73,   0.77,   0.19,   0.90,   0.76,   0.38, 
   42.,    3.0,   0.97, -0.0027, -0.024, -0.026, -0.015, 0.0082, -0.0025, 0.0084, 0.0085, 
   41.,    0.0,   0.21, 0.0040, -0.00091,  0.058, 0.0017, -0.00027,  0.027, -0.0021, -0.017, 
   10.,    0.0,   0.20,  0.027,   0.23,   0.15,  0.085,  0.078,  0.039, 0.0063, -0.0092, 
   5.0,    2.0,   0.62,  0.059,   0.19,   0.19,    0.0,  0.062,    0.0,  0.066,    0.0, 
   72.,    1.0,   0.80,  -0.10, -0.050,  -0.10, -0.050,    0.0,    0.0,  -0.21,  -0.20, 
   95.,    0.0,   0.15,  0.068,  0.057,  0.034,  0.096,  0.087, 0.00016,  0.051,  0.037, 
   38.,    4.0,   0.38, -0.081,  -0.38,  -0.38, -0.011,  0.066, -0.078,  -0.15,  -0.21, 
   99.,    2.0,   0.62,  0.035,   0.19,   0.19,    0.0,    0.0,    0.0,  0.066,    0.0, 
   76.,    5.0,    8.1,   -1.5,   -1.3,   -1.0,   -1.9,   -1.5,   -1.6,   -3.8,   -4.2, 
   28.,    5.0,    4.1,   0.50,  -0.78,   0.28,   0.18,  -0.81,   0.35,   0.26,  -0.15, 
   66.,    2.0,   0.88,  -0.17,  -0.19,  -0.12, -0.062,  -0.19,    0.0,  -0.19,  -0.25, 
   70.,    1.0,   0.50, -0.055,  -0.10,  -0.10, -0.050, -0.075,    0.0,  0.091,   0.10, 
   26.,    1.0,   0.60,  0.028,   0.10,   0.10,   0.10,   0.10,  -0.10, -0.010,    0.0, 
   78.,    3.0,   0.98, 0.00091, 0.0055,  0.010, 0.0052, -0.011, -0.024, 0.00081, 0.0010, 
   48.,    5.0,    6.1,   -1.5,   -1.5,   -1.9,   -1.9,   -1.7,   -2.2,   -1.8,   -2.1, 
   19.,    0.0,   0.14,  0.060, -0.0037,  0.053, -0.0072,  0.015,  0.025,  0.062,  0.048, 
   33.,    5.0,    5.5,   0.17,  0.062,  -0.95,  -0.60,   0.42,  -0.39,   -1.1,   -1.5, 
   92.,    5.0,    3.5,  0.029,  -0.55,  -0.33,   0.14,   0.39,   0.15,   0.89,   0.50, 
   48.,    2.0,   0.62,  0.034,   0.19,   0.19,   0.19,    0.0,   0.12,  0.066,    0.0, 
   86.,    2.0,   0.88,  -0.16,  -0.19,  -0.12,  -0.12,  -0.19,    0.0,  -0.19,  -0.25, 
   37.,    5.0,    3.8,  -0.31, -0.013,    1.6,   0.12,  -0.34,  -0.70,   0.53,   0.15, 
   55.,    2.0,   0.62,  0.029,   0.19,   0.19,    0.0,    0.0,    0.0,  0.066,    0.0, 
   82.,    1.0,   0.70,  -0.13,  -0.10, -0.050, -0.050,  -0.12,  -0.10,  -0.11,  -0.10, 
   80.,    0.0,   0.23, -0.021, -0.045, -0.013, -0.026, -0.032, -0.028, -0.030, -0.045, 
   97.,    5.0,    6.9,   0.87,    2.7,    2.7,   -1.0,    2.5,    1.7,   -2.6,   -3.0, 
   54.,    1.0,   0.60, -0.051,    0.0,  -0.10,  -0.10, -0.050,  -0.10, -0.010,    0.0, 
   40.,    0.0,   0.14,  0.068, 0.0090,  0.055,   0.10,  0.056,  0.014,  0.062,  0.048, 
   16.,    1.0,   0.60, -0.010,    0.0,  0.050,    0.0,  0.050,   0.10, -0.010,    0.0, 
   67.,    1.0,   0.50,  0.013,  0.050,   0.15,   0.10,    0.0,    0.0,  0.091,   0.10, 
   61.,    2.0,   0.75, -0.037, -0.062,    0.0, -0.062,    0.0,  -0.12, -0.061,  -0.12, 
   74.,    0.0,   0.19,  0.020, -0.033, -0.056, -0.020,  0.026, -0.025,  0.019, 0.0054, 
   56.,    5.0,    4.9,   0.72,  -0.51,   0.68,    1.9,    1.1,  -0.64,  -0.57,  -0.96, 
   56.,    4.0,    0.0,   0.27,   0.35,   0.35,   0.52,   0.24,    0.0,   0.23,   0.20, 
   18.,    5.0,    2.8,   0.79,   0.17,   0.92,    1.3,    1.2,   0.98,    1.6,    1.2, 
   64.,    3.0,   0.99, -0.015, -0.016, -0.022, -0.013, -0.0080, -0.017, -0.011, -0.011, 
   10.,    4.0,   0.52,  -0.29,   0.48,  -0.17,  -0.52,  -0.13,   0.26,  -0.30,  -0.36, 
   77.,    1.0,   0.30,   0.15,   0.10,   0.10,   0.10,   0.13,   0.20,   0.29,   0.30, 
   58.,    5.0,    1.0,    1.4,    1.6,    1.9,    2.3,    2.1,    1.9,    3.4,    3.0, 
   53.,    4.0,    0.0,   0.18,    0.0,    0.0,  0.031,   0.35,   0.27,   0.23,   0.20, 
   41.,    4.0,   0.46,  -0.21,   0.22,   0.54,  -0.28,  -0.14,  -0.46,  -0.23,  -0.29, 
   28.,    0.0,   0.17,  0.057, -0.021, -0.021, -0.044, 0.0071, -0.090,  0.037,  0.022, 
   2.0,    2.0,   0.88, -0.074,  -0.25,  -0.25,  -0.19,  -0.25,  -0.25,  -0.19,  -0.25, 
   78.,    3.0,   0.98, 0.00091, 0.0055,  0.010, 0.0052, -0.011, -0.024, 0.00081, 0.0010, 
   88.,    1.0,   0.50,  0.034,   0.10,   0.10,    0.0,    0.0,   0.10,  0.091,   0.10, 
   28.,    1.0,   0.60, -0.036,    0.0,  0.050, -0.050, -0.050,   0.10, -0.010,    0.0, 
   82.,    4.0,    0.0,   0.22,   0.35,   0.16,   0.26,    0.0,   0.13,   0.23,   0.20, 
   53.,    4.0,    0.0,   0.18,    0.0,    0.0,  0.031,   0.35,   0.27,   0.23,   0.20, 
   64.,    1.0,   0.50,  0.036,   0.10,   0.10, -0.050,    0.0,  -0.10,  0.091,   0.10, 
   18.,    5.0,    2.8,   0.79,   0.17,   0.92,    1.3,    1.2,   0.98,    1.6,    1.2, 
   6.0,    5.0,    6.1,  -0.46,    3.5,   -1.4,    1.9,   0.57,    1.9,   -1.8,   -2.1, 
   30.,    0.0,   0.14,  0.063, -0.0024, -0.025,  0.013,  0.016,  0.067,  0.063,  0.049, 
   75.,    0.0,   0.17,  0.033,  0.011, -0.012,   0.10,  0.033,   0.10,  0.035,  0.021, 
   30.,    4.0,   0.20, -0.012,   0.15,  -0.20,  -0.14,  -0.15,  -0.20,  0.025, -0.039, 
   14.,    0.0,  0.079,   0.15,   0.13,   0.13,   0.11,  0.058,  0.090,   0.13,   0.11, 
   83.,    0.0,   0.18,  0.033, -0.0089,  0.043, -0.0089,  0.021, -0.029,  0.022, 0.0082, 
   24.,    1.0,   0.40,   0.10,  0.050,   0.10,  0.050,  0.075,    0.0,   0.19,   0.20, 
   19.,    1.0,   0.50,  0.020,  0.050,   0.10,   0.10,    0.0,  -0.10,  0.091,   0.10, 
   43.,    3.0,   0.97,  0.014,  0.019, -0.00025,  0.019, -0.00087,  0.024, 0.0094, 0.0095, 
   67.,    3.0,   0.98, -0.0069, -0.0062, -0.012, -0.0080, -0.0087, -0.0080, -0.0017, -0.0020, 
   10.,    2.0,   0.62,  0.025,   0.19,   0.19,  0.062,  -0.16,    0.0,  0.066,    0.0, 
   75.,    0.0,   0.17,  0.033,  0.011, -0.012,   0.10,  0.033,   0.10,  0.035,  0.021, 
   40.,    5.0,    3.1,   0.41,   0.49,   0.19,   0.25,  -0.18,   0.63,    1.2,   0.85, 
   49.,    0.0,   0.21,  0.019,   0.13,  0.035,  0.025, 0.0098,  0.025, -0.0025, -0.018, 
   65.,    2.0,   0.62,  0.086,   0.12,   0.19,  0.062,  0.062,   0.12,  0.066,    0.0, 
   6.0,    0.0,   0.27, -0.062,   0.16,  0.045,  0.039,  0.046, -0.025, -0.068, -0.082, 
   6.0,    2.0,   0.75, -0.057,  0.062,  0.062,  -0.12, -0.031,  -0.12, -0.061,  -0.12, 
   38.,    5.0,    4.1,  -0.58,  -0.48,  -0.55,  -0.30,  -0.43,  -0.49,   0.27,  -0.14, 
   4.0,    1.0,   0.50,  0.029,   0.10,   0.10,   0.10,  0.050,    0.0,  0.091,   0.10, 
   13.,    2.0,   0.62,  0.073,  0.062,  0.062,   0.12,    0.0,    0.0,  0.066,    0.0, 
   45.,    2.0,   0.62,  0.075,   0.12,   0.19,    0.0,  0.062,   0.12,  0.066,    0.0, 
   21.,    3.0,   0.96,  0.026, 0.0095, 0.0035, 0.0055,  0.036,  0.032,  0.020,  0.020, 
   84.,    3.0,   0.98, 0.0054,  0.012, 0.0082,  0.016, 0.0095,  0.022, 0.0063, 0.0065, 
   96.,    1.0,   0.50, -0.011, -0.050,    0.0,    0.0,    0.0,    0.0,  0.091,   0.10, 
   83.,    5.0,    3.6, -0.098,   0.21,   0.45,  -0.41,  0.058,  -0.88,   0.76,   0.38, 
   31.,    0.0,   0.18,  0.029, -0.044, -0.067, -0.066, -0.067, -0.037,  0.028,  0.014, 
   15.,    3.0,   0.98, -0.00043, -0.0027,  0.013, 0.0057, -0.0091, -0.0085, 0.0018, 0.0020, 
   20.,    3.0,   0.99, -0.014, -0.0070, -0.0087, -0.014, -0.0047, 0.0055, -0.011, -0.011, 
   75.,    4.0,   0.27, -0.050,  -0.27,  -0.27,  0.053,  -0.27,  -0.27, -0.041,  -0.10, 
   58.,    4.0,    0.0,   0.22,    0.0,    0.0,   0.21,    0.0,    0.0,   0.23,   0.20, 
   88.,    4.0,   0.37,  -0.12, -0.015, -0.015,  -0.22,  -0.22,  -0.37,  -0.14,  -0.20, 
   22.,    0.0,   0.27, -0.051, -0.084, -0.084,  -0.11,  -0.10, -0.066, -0.069, -0.083, 
   91.,    0.0,   0.18,  0.033, -0.0030, -0.0032, -0.0026, 0.0019,   0.16,  0.022, 0.0077, 
   2.0,    3.0,   0.94,  0.035,  0.028,  0.026,  0.039,  0.031,  0.017,  0.044,  0.043, 
   19.,    1.0,   0.50,  0.020,  0.050,   0.10,   0.10,    0.0,  -0.10,  0.091,   0.10, 
   42.,    4.0,    0.0,   0.18,    0.0,    0.0,   0.12,   0.13,    0.0,   0.23,   0.20, 
   6.0,    0.0,   0.27, -0.062,   0.16,  0.045,  0.039,  0.046, -0.025, -0.068, -0.082, 
   64.,    4.0,    0.0,   0.26,   0.35,   0.35,   0.32,   0.27,   0.37,   0.23,   0.20, 
   32.,    1.0,   0.50,  0.075,   0.10,   0.15,   0.10,   0.12,   0.10,  0.091,   0.10, 
   33.,    2.0,   0.62,  0.038,   0.12,   0.19,  0.062,    0.0,    0.0,  0.066,    0.0, 
   54.,    0.0,  0.090,   0.13,   0.15,   0.15,   0.10,  0.062,   0.17,   0.12,   0.10, 
   94.,    3.0,   0.97, 0.0040, 0.0022, -0.0040, -0.0092, -0.011, 0.0070, 0.0068, 0.0070, 
   88.,    0.0,   0.21, 0.0025, -0.046, -0.046, 0.0096, -0.013,  0.075, -0.0015, -0.017, 
   93.,    2.0,    1.0,  -0.26,  -0.31,  -0.44,  -0.38,  -0.31,  -0.38,  -0.31,  -0.38, 
   70.,    5.0,    2.2,    1.3,   0.75,  0.019,   0.40,  -0.14,   0.35,    2.2,    1.8, 
   38.,    3.0,   0.96,  0.024,  0.030,  0.035,  0.035, 0.0072,  0.031,  0.025,  0.025, 
   77.,    2.0,   0.25,   0.52,   0.25,   0.38,   0.62,   0.50,   0.38,   0.44,   0.38, 
   63.,    5.0,    6.2,   0.45,   0.69,   0.47,    1.1,    1.4,  -0.50,   -1.9,   -2.3, 
   39.,    0.0,   0.20, -0.016, -0.065, 0.0022, -0.036, -0.030, 0.0020, -0.00042, -0.016, 
   2.0,    3.0,   0.94,  0.035,  0.028,  0.026,  0.039,  0.031,  0.017,  0.044,  0.043, 
